main,description,temp,visibility,wind_speed,wind_direction,clouds,datetime
Clouds,broken clouds,279.84,10000.0,4.12,70.0,75.0,1677850621
Clouds,broken clouds,279.84,10000.0,4.12,70.0,75.0,1677850922
Clouds,broken clouds,279.84,10000.0,4.12,70.0,75.0,1677851223
Clouds,broken clouds,279.84,10000.0,4.12,70.0,75.0,1677851524
Clouds,broken clouds,279.84,10000.0,4.12,70.0,75.0,1677851825
Clouds,broken clouds,279.84,10000.0,4.12,70.0,75.0,1677852126
Clouds,broken clouds,280.04,10000.0,4.12,70.0,75.0,1677852427
Clouds,broken clouds,279.99,10000.0,4.12,70.0,75.0,1677852728
Clouds,broken clouds,279.99,10000.0,4.12,70.0,75.0,1677853029
Drizzle,light intensity drizzle,280.08,10000.0,4.12,70.0,75.0,1677853330
Drizzle,light intensity drizzle,280.08,10000.0,4.12,70.0,75.0,1677853631
Drizzle,light intensity drizzle,280.04,10000.0,4.12,70.0,75.0,1677853932
Drizzle,light intensity drizzle,280.12,10000.0,4.12,70.0,75.0,1677854234
Drizzle,light intensity drizzle,280.12,10000.0,4.12,70.0,75.0,1677854535
Clouds,broken clouds,279.99,10000.0,4.12,80.0,75.0,1677854835
Clouds,broken clouds,279.82,10000.0,4.12,80.0,75.0,1677855136
Clouds,broken clouds,279.82,10000.0,4.12,80.0,75.0,1677855437
Clouds,broken clouds,279.82,10000.0,4.12,80.0,75.0,1677855738
Clouds,broken clouds,279.82,10000.0,4.12,80.0,75.0,1677856039
Clouds,broken clouds,279.52,10000.0,4.12,80.0,75.0,1677856340
Clouds,broken clouds,279.58,10000.0,4.12,80.0,75.0,1677856641
Clouds,broken clouds,279.63,10000.0,4.02,80.0,75.0,1677856942
Clouds,broken clouds,279.63,10000.0,4.02,80.0,75.0,1677857243
Clouds,broken clouds,279.63,10000.0,4.02,80.0,75.0,1677857544
Clouds,broken clouds,279.67,10000.0,3.6,90.0,75.0,1677857845
Clouds,broken clouds,279.67,10000.0,3.6,90.0,75.0,1677858146
Clouds,broken clouds,279.6,10000.0,4.02,80.0,75.0,1677858447
Clouds,broken clouds,279.6,10000.0,4.02,80.0,75.0,1677858748
Clouds,broken clouds,279.67,10000.0,2.57,80.0,75.0,1677859049
Clouds,broken clouds,279.67,10000.0,2.57,80.0,75.0,1677859351
Clouds,broken clouds,279.67,10000.0,2.57,80.0,75.0,1677859652
Clouds,broken clouds,279.67,10000.0,2.57,80.0,75.0,1677859953
Clouds,broken clouds,279.67,10000.0,2.57,80.0,75.0,1677860254
Clouds,broken clouds,279.67,10000.0,2.57,80.0,75.0,1677860555
Clouds,broken clouds,279.77,10000.0,4.12,70.0,75.0,1677860856
Clouds,broken clouds,279.63,10000.0,4.12,70.0,75.0,1677861157
Clouds,broken clouds,279.63,10000.0,4.12,70.0,75.0,1677861458
Clouds,broken clouds,279.63,10000.0,4.12,70.0,75.0,1677861759
Clouds,broken clouds,279.63,10000.0,4.12,70.0,75.0,1677862060
Clouds,broken clouds,279.46,10000.0,3.09,100.0,75.0,1677862361
Clouds,broken clouds,279.46,10000.0,3.09,100.0,75.0,1677862662
Clouds,broken clouds,279.3,10000.0,3.09,100.0,75.0,1677862963
Clouds,broken clouds,279.3,10000.0,3.09,100.0,75.0,1677863264
Clouds,broken clouds,279.3,10000.0,3.09,100.0,75.0,1677863565
Clouds,broken clouds,279.3,10000.0,3.09,100.0,75.0,1677863866
Clouds,broken clouds,279.1,10000.0,4.12,100.0,75.0,1677864167
Clouds,broken clouds,279.1,10000.0,4.12,100.0,75.0,1677864468
Clouds,broken clouds,279.1,10000.0,4.12,100.0,75.0,1677864769
Clouds,broken clouds,278.98,10000.0,4.12,100.0,75.0,1677865069
Clouds,broken clouds,278.93,10000.0,4.12,100.0,75.0,1677865370
Clouds,broken clouds,278.93,10000.0,2.57,70.0,75.0,1677865671
Clouds,broken clouds,278.99,10000.0,2.57,70.0,75.0,1677865972
Clouds,broken clouds,278.99,10000.0,2.57,70.0,75.0,1677866273
Clouds,broken clouds,278.99,10000.0,2.57,70.0,75.0,1677866574
Clouds,broken clouds,278.99,10000.0,2.57,70.0,75.0,1677866875
Clouds,broken clouds,278.93,10000.0,2.06,80.0,75.0,1677867177
Clouds,broken clouds,278.68,10000.0,3.09,80.0,75.0,1677867477
Clouds,broken clouds,278.68,10000.0,3.09,80.0,75.0,1677867779
Clouds,broken clouds,278.68,10000.0,3.09,80.0,75.0,1677868079
Clouds,broken clouds,278.68,10000.0,3.09,80.0,75.0,1677868381
Clouds,broken clouds,278.61,10000.0,3.09,80.0,75.0,1677868682
Clouds,broken clouds,278.68,10000.0,3.09,80.0,75.0,1677868983
Clouds,broken clouds,278.61,10000.0,3.09,80.0,75.0,1677869284
Clouds,broken clouds,278.58,10000.0,3.09,80.0,75.0,1677869585
Clouds,broken clouds,278.58,10000.0,3.09,80.0,75.0,1677869886
Clouds,broken clouds,278.58,10000.0,3.09,80.0,75.0,1677870187
Clouds,broken clouds,278.58,10000.0,3.09,80.0,75.0,1677870488
Clouds,broken clouds,278.74,10000.0,1.03,0.0,75.0,1677870789
Clouds,broken clouds,278.83,10000.0,2.57,60.0,75.0,1677871090
Clouds,broken clouds,278.83,10000.0,2.57,60.0,75.0,1677871391
Clouds,broken clouds,278.58,10000.0,2.57,60.0,75.0,1677871692
Clouds,broken clouds,278.58,10000.0,2.57,60.0,75.0,1677871993
Clouds,broken clouds,278.58,10000.0,2.57,60.0,75.0,1677872294
Clouds,broken clouds,278.58,10000.0,2.57,60.0,75.0,1677872595
Clouds,broken clouds,278.45,10000.0,2.57,60.0,75.0,1677872896
Clouds,broken clouds,278.5,10000.0,2.57,60.0,75.0,1677873197
Clouds,broken clouds,278.5,10000.0,2.57,60.0,75.0,1677873498
Clouds,broken clouds,278.38,10000.0,1.54,0.0,75.0,1677873799
Clouds,broken clouds,278.38,10000.0,1.54,0.0,75.0,1677874100
Clouds,broken clouds,278.38,10000.0,1.54,0.0,75.0,1677874401
Clouds,broken clouds,278.41,10000.0,2.06,30.0,75.0,1677874702
Clouds,broken clouds,278.41,10000.0,2.06,30.0,75.0,1677875003
Clouds,broken clouds,278.41,10000.0,2.06,30.0,75.0,1677875304
Clouds,broken clouds,278.41,10000.0,2.06,30.0,75.0,1677875605
Clouds,broken clouds,278.41,10000.0,2.06,30.0,75.0,1677875906
Clouds,broken clouds,278.41,10000.0,2.06,30.0,75.0,1677876207
Clouds,broken clouds,278.07,10000.0,2.06,10.0,75.0,1677876508
Clouds,broken clouds,278.07,10000.0,2.06,10.0,75.0,1677876809
Clouds,broken clouds,278.07,10000.0,2.06,10.0,75.0,1677877110
Clouds,broken clouds,278.0,10000.0,2.06,10.0,75.0,1677877411
Clouds,broken clouds,278.31,10000.0,2.06,10.0,75.0,1677877712
Clouds,broken clouds,278.31,10000.0,2.06,10.0,75.0,1677878013
Drizzle,light intensity drizzle,278.34,10000.0,2.06,340.0,75.0,1677878314
Drizzle,light intensity drizzle,278.34,10000.0,2.06,340.0,75.0,1677878615
Drizzle,light intensity drizzle,278.34,10000.0,2.06,340.0,75.0,1677878916
Drizzle,light intensity drizzle,278.34,10000.0,2.06,340.0,75.0,1677879217
Drizzle,light intensity drizzle,278.34,10000.0,2.06,340.0,75.0,1677879517
Drizzle,light intensity drizzle,278.34,10000.0,2.06,340.0,75.0,1677879818
Drizzle,light intensity drizzle,278.34,10000.0,2.06,10.0,75.0,1677880119
Drizzle,light intensity drizzle,278.34,10000.0,2.06,10.0,75.0,1677880420
Drizzle,light intensity drizzle,278.34,10000.0,2.06,10.0,75.0,1677880721
Clouds,broken clouds,277.93,10000.0,2.06,10.0,75.0,1677881022
Clouds,broken clouds,277.93,10000.0,2.06,10.0,75.0,1677881323
Clouds,broken clouds,277.93,10000.0,2.06,10.0,75.0,1677881624
Clouds,broken clouds,277.93,10000.0,2.06,10.0,75.0,1677881925
Clouds,broken clouds,278.07,10000.0,3.6,40.0,75.0,1677882226
Clouds,broken clouds,278.07,10000.0,3.6,40.0,75.0,1677882527
Clouds,broken clouds,278.07,10000.0,3.6,40.0,75.0,1677882853
Clouds,broken clouds,278.07,10000.0,3.6,40.0,75.0,1677883154
Clouds,broken clouds,278.07,10000.0,3.6,40.0,75.0,1677883455
Clouds,broken clouds,278.07,10000.0,3.6,40.0,75.0,1677883756
Clouds,broken clouds,278.07,10000.0,3.6,60.0,75.0,1677884057
Clouds,broken clouds,278.07,10000.0,3.6,60.0,75.0,1677884358
Clouds,broken clouds,278.11,10000.0,3.6,60.0,75.0,1677884659
Clouds,broken clouds,278.11,10000.0,3.6,60.0,75.0,1677884960
Clouds,broken clouds,278.11,10000.0,3.6,60.0,75.0,1677885261
Clouds,broken clouds,278.11,10000.0,3.6,60.0,75.0,1677885562
Clouds,broken clouds,278.24,10000.0,2.57,40.0,75.0,1677885863
Clouds,broken clouds,278.28,10000.0,2.57,40.0,75.0,1677886163
Clouds,broken clouds,278.17,10000.0,2.57,40.0,75.0,1677886464
Clouds,broken clouds,278.28,10000.0,2.68,20.0,75.0,1677886766
Clouds,broken clouds,277.88,10000.0,3.09,20.0,75.0,1677887067
Clouds,broken clouds,277.88,10000.0,3.09,20.0,75.0,1677887368
Clouds,broken clouds,277.88,10000.0,3.09,20.0,75.0,1677887668
Clouds,broken clouds,277.88,10000.0,3.09,20.0,75.0,1677887969
Clouds,broken clouds,277.85,10000.0,3.09,20.0,75.0,1677888270
Clouds,broken clouds,278.2,10000.0,3.09,20.0,75.0,1677888571
Clouds,broken clouds,278.2,10000.0,3.09,20.0,75.0,1677888872
Clouds,broken clouds,278.2,10000.0,3.09,20.0,75.0,1677889173
Clouds,broken clouds,278.5,10000.0,2.68,20.0,75.0,1677889474
Clouds,broken clouds,278.5,10000.0,1.54,0.0,75.0,1677889775
Clouds,broken clouds,278.5,10000.0,1.54,0.0,75.0,1677890076
Clouds,broken clouds,278.36,10000.0,1.54,0.0,75.0,1677890378
Clouds,broken clouds,277.67,10000.0,1.54,0.0,75.0,1677890678
Clouds,broken clouds,277.67,10000.0,1.54,0.0,75.0,1677890979
Clouds,broken clouds,278.36,10000.0,2.57,360.0,75.0,1677891280
Clouds,broken clouds,278.36,10000.0,2.57,360.0,75.0,1677891581
Clouds,broken clouds,278.37,10000.0,2.57,360.0,75.0,1677891882
Clouds,broken clouds,278.37,10000.0,2.57,360.0,75.0,1677892183
Clouds,broken clouds,278.37,10000.0,2.57,360.0,75.0,1677892484
Clouds,broken clouds,278.42,10000.0,3.09,10.0,75.0,1677892785
Clouds,broken clouds,278.42,10000.0,3.09,10.0,75.0,1677893086
Clouds,broken clouds,278.45,10000.0,3.09,10.0,75.0,1677893387
Clouds,broken clouds,278.45,10000.0,3.09,10.0,75.0,1677893688
Clouds,broken clouds,278.45,10000.0,3.09,10.0,75.0,1677893989
Clouds,broken clouds,278.39,10000.0,2.68,10.0,75.0,1677894290
Clouds,broken clouds,278.39,10000.0,2.68,10.0,75.0,1677894591
Clouds,broken clouds,278.39,10000.0,2.68,10.0,75.0,1677894892
Clouds,broken clouds,278.39,10000.0,2.68,10.0,75.0,1677895193
Clouds,broken clouds,278.39,10000.0,2.68,10.0,75.0,1677895494
Clouds,broken clouds,278.5,10000.0,2.68,10.0,75.0,1677895795
Clouds,broken clouds,278.5,10000.0,2.68,10.0,75.0,1677896095
Clouds,broken clouds,278.49,10000.0,3.09,340.0,75.0,1677896397
Clouds,broken clouds,278.46,10000.0,3.09,340.0,75.0,1677896698
Clouds,broken clouds,278.46,10000.0,3.09,340.0,75.0,1677896998
Clouds,broken clouds,278.46,10000.0,3.09,340.0,75.0,1677897299
